Epoch,Learn rate,Avg Train loss,Train Accuracy,Avg Eval loss,Eval accuracy
0,0.0,6.4273669719696045,0.0,6.4273671775028625,0.0
0,0.0,6.364336967468262,0.0,6.364336967468262,0.0
1,6.987712429686843e-07,6.346011519432068,0.0,6.346011622198697,0.0
2,1.3975424859373686e-06,6.279241561889648,0.0,6.279241561889648,0.0
3,2.096313728906053e-06,6.165279984474182,0.0,6.165279881707553,0.0
4,2.7950849718747372e-06,6.007158279418945,0.0,6.007158279418945,0.0
5,3.4938562148434215e-06,5.8097639083862305,0.0,5.8097639083862305,0.0
6,4.192627457812106e-06,5.579840660095215,0.0,5.579840660095215,0.0
7,4.89139870078079e-06,5.32522976398468,0.0,5.325229661218051,0.0
8,5.5901699437494744e-06,5.0557862520217896,0.0,5.055786149255161,0.0
9,6.288941186718159e-06,4.782742857933044,0.0,4.782742960699673,0.0
10,6.987712429686843e-06,4.518896102905273,0.0,4.518896102905273,0.0
11,7.686483672655526e-06,4.274424433708191,0.0,4.27442453647482,0.0
12,8.385254915624212e-06,4.056676983833313,0.0,4.056676881066684,0.0
13,9.084026158592897e-06,3.8680556416511536,0.0,3.868055590267839,0.0
14,9.78279740156158e-06,3.706515908241272,0.0,3.706516011007901,0.0
15,1.0481568644530264e-05,3.5694074034690857,0.0,3.5694074548524,0.0
16,1.1180339887498949e-05,3.4512743949890137,0.0,3.4512743949890137,0.0
17,1.1879111130467634e-05,3.343999445438385,0.0,3.3439995995883285,0.0
18,1.2577882373436317e-05,3.2396907210350037,0.0,3.239690772418318,0.0
19,1.3276653616405001e-05,3.1337313652038574,0.0,3.1337313652038574,0.0
20,1.3975424859373686e-05,3.0231040120124817,0.0,3.023103960629167,0.0
21,1.4674196102342371e-05,2.9036383628845215,0.0,2.9036383628845215,0.0
22,1.5372967345311053e-05,2.777630090713501,0.0,2.777630090713501,0.0
23,1.6071738588279738e-05,2.6485214233398438,0.0,2.6485214233398438,0.0
24,1.6770509831248423e-05,2.518538475036621,0.0,2.518538475036621,0.0
25,1.746928107421711e-05,2.3894996643066406,0.0,2.3894996643066406,0.0
26,1.8168052317185794e-05,2.258672773838043,0.0,2.2586727224547287,0.0
27,1.8866823560154475e-05,2.1333446502685547,0.0,2.1333446502685547,0.0
28,1.956559480312316e-05,2.014418363571167,0.0,2.014418363571167,0.0
29,2.0264366046091846e-05,1.9068782925605774,0.0,1.906878241177263,0.0
30,2.0963137289060527e-05,1.8153806924819946,0.0,1.8153807952486236,0.0
31,2.1661908532029213e-05,1.7373557686805725,0.0,1.737355717297258,0.0
32,2.2360679774997898e-05,1.6708074510097504,0.0,1.6708073739347786,0.0
33,2.3059451017966583e-05,1.6090753674507141,0.0,1.6090754188340286,0.0
34,2.3758222260935268e-05,1.5491378903388977,0.0,1.5491378389555832,0.0
35,2.445699350390395e-05,1.4882223904132843,0.0,1.488222364721627,0.0
36,2.5155764746872635e-05,1.4299587607383728,0.0,1.4299587093550583,0.0
37,2.585453598984132e-05,1.374400556087494,0.0,1.3744006074708084,0.0
38,2.6553307232810002e-05,1.3254784941673279,0.0,1.3254784427840134,0.0
39,2.7252078475778687e-05,1.2834186851978302,0.0,1.283418659506173,0.0
40,2.7950849718747372e-05,1.247612476348877,0.0,1.247612476348877,0.0
41,2.8649620961716057e-05,1.2172887325286865,0.0,1.2172887325286865,0.0
42,2.9348392204684742e-05,1.1909632086753845,0.0,1.190963260058699,0.0
43,3.0047163447653424e-05,1.1666293144226074,0.0,1.1666293144226074,0.0
44,3.0745934690622106e-05,1.1434188783168793,0.0,1.1434189040085365,0.0
45,3.144470593359079e-05,1.1214778423309326,0.0,1.1214778423309326,0.0
46,3.2143477176559476e-05,1.100784569978714,0.0,1.1007845442870567,0.0
47,3.284224841952816e-05,1.0803779065608978,0.0,1.080377932252555,0.0
48,3.3541019662496847e-05,1.0598779022693634,0.0,1.0598778765777062,0.0
49,3.423979090546553e-05,1.038231909275055,0.0,1.0382318578917404,0.0
50,3.493856214843422e-05,1.0141657292842865,0.0,1.0141657549759437,0.0
51,3.56373333914029e-05,0.9907684326171875,0.0,0.9907684326171875,0.0
52,3.633610463437159e-05,0.9699398577213287,0.0,0.9699398320296715,0.0
53,3.7034875877340266e-05,0.9462025910615921,0.0,0.946202526832449,0.0
54,3.773364712030895e-05,0.9283391535282135,0.0,0.9283391278365563,0.0
55,3.8432418363277636e-05,0.8997660428285599,0.0,0.8997660299827313,0.0
56,3.913118960624632e-05,0.8805532306432724,0.0,0.880553243489101,0.0
57,3.9829960849215006e-05,0.848285123705864,0.0,0.8482851365516926,0.0
58,4.052873209218369e-05,0.8191826045513153,0.0,0.8191826302429726,0.0
59,4.1227503335152376e-05,0.7839812487363815,0.0,0.7839812615822102,0.0
60,4.1926274578121055e-05,0.7423701286315918,0.0,0.7423701286315918,0.0
